Loaded Arguments:
config_file             : config.ini
experiment              : pcam_bnn_1
task                    : bnn
seed                    : 1111
verbose                 : True
log_dir                 : Logs
log_interval            : 10
tensorboard_dir         : Tensorboard
dataset                 : pcam
dataset_dir             : ../../Datasets/pcam
val_split               : 0.2
test_split              : 0.2
image_x                 : 96
image_y                 : 96
square_image            : True
augmentation            : True
data_workers            : 4
use_gpu                 : True
precision               : 16
efficient_net           : 7
model_dir               : Models
epochs                  : 20
batch_size              : 64
minimum_lr              : 1e-05
maximum_lr              : 0.1
label_smoothing         : 0.0
focal_loss              : False
focal_alpha             : 0.25
focal_gamma             : 2.0
training_samples        : 10
batches_per_epoch       : 0


Set Random Seed to 1111
Device set to cuda:0

Loader Datasets

Model Initialised
Time: 002064s	Train Epoch: 01 [083200/235930] (35%)	Loss: 213.004791	Cross Entropy: 0.3081	ELBO: 212.6967	Accuracy: 0.874219
Time: 002080s	Train Epoch: 01 [083840/235930] (36%)	Loss: 211.380512	Cross Entropy: 0.3074	ELBO: 211.0731	Accuracy: 0.874535
Time: 002096s	Train Epoch: 01 [084480/235930] (36%)	Loss: 209.780464	Cross Entropy: 0.3064	ELBO: 209.4740	Accuracy: 0.875036
Time: 002112s	Train Epoch: 01 [085120/235930] (36%)	Loss: 208.204902	Cross Entropy: 0.3059	ELBO: 207.8990	Accuracy: 0.875294
Time: 002128s	Train Epoch: 01 [085760/235930] (36%)	Loss: 206.652494	Cross Entropy: 0.3049	ELBO: 206.3476	Accuracy: 0.875723
Time: 002144s	Train Epoch: 01 [086400/235930] (37%)	Loss: 205.123432	Cross Entropy: 0.3044	ELBO: 204.8191	Accuracy: 0.875891
Time: 002160s	Train Epoch: 01 [087040/235930] (37%)	Loss: 203.616394	Cross Entropy: 0.3034	ELBO: 203.3130	Accuracy: 0.876367
Time: 002175s	Train Epoch: 01 [087680/235930] (37%)	Loss: 202.131707	Cross Entropy: 0.3027	ELBO: 201.8290	Accuracy: 0.876711
Time: 002191s	Train Epoch: 01 [088320/235930] (37%)	Loss: 200.668335	Cross Entropy: 0.3019	ELBO: 200.3665	Accuracy: 0.877015
Time: 002207s	Train Epoch: 01 [088960/235930] (38%)	Loss: 199.225720	Cross Entropy: 0.3007	ELBO: 198.9250	Accuracy: 0.877529
Time: 002223s	Train Epoch: 01 [089600/235930] (38%)	Loss: 197.803838	Cross Entropy: 0.2997	ELBO: 197.5041	Accuracy: 0.877980
Time: 002239s	Train Epoch: 01 [090240/235930] (38%)	Loss: 196.402598	Cross Entropy: 0.2992	ELBO: 196.1034	Accuracy: 0.878236
Time: 002255s	Train Epoch: 01 [090880/235930] (39%)	Loss: 195.020942	Cross Entropy: 0.2986	ELBO: 194.7223	Accuracy: 0.878532
Time: 002271s	Train Epoch: 01 [091520/235930] (39%)	Loss: 193.658477	Cross Entropy: 0.2978	ELBO: 193.3607	Accuracy: 0.878923
Time: 002287s	Train Epoch: 01 [092160/235930] (39%)	Loss: 192.314981	Cross Entropy: 0.2971	ELBO: 192.0179	Accuracy: 0.879199
Time: 002303s	Train Epoch: 01 [092800/235930] (39%)	Loss: 190.989776	Cross Entropy: 0.2962	ELBO: 190.6936	Accuracy: 0.879558
Time: 002318s	Train Epoch: 01 [093440/235930] (40%)	Loss: 189.682862	Cross Entropy: 0.2954	ELBO: 189.3875	Accuracy: 0.879880
Time: 002334s	Train Epoch: 01 [094080/235930] (40%)	Loss: 188.393693	Cross Entropy: 0.2946	ELBO: 188.0991	Accuracy: 0.880283
Time: 002350s	Train Epoch: 01 [094720/235930] (40%)	Loss: 187.121725	Cross Entropy: 0.2935	ELBO: 186.8282	Accuracy: 0.880712
Time: 002366s	Train Epoch: 01 [095360/235930] (40%)	Loss: 185.867468	Cross Entropy: 0.2932	ELBO: 185.5743	Accuracy: 0.880956
Time: 002382s	Train Epoch: 01 [096000/235930] (41%)	Loss: 184.629344	Cross Entropy: 0.2922	ELBO: 184.3372	Accuracy: 0.881385
Time: 002398s	Train Epoch: 01 [096640/235930] (41%)	Loss: 183.407679	Cross Entropy: 0.2913	ELBO: 183.1164	Accuracy: 0.881716
